name,ring,quadrant,isNew,description,Ticket
AppSec Rules of Engagement,Adopt,Security,TRUE,"As a Security Engineer, in order to have documentation the process for performing an Application Security Assessment, I want to generate a ""Rules of Engagement"" form which outlines the phases and steps for performing a high level application security assessment.",37
Vulnerability Management Plans,Adopt,Security,FALSE,"Create Vulnerability Management Plans in HCQIS for EQRS, ADO-13 and iQIES",38
DefectDojo POC,Trial,Security,FALSE,"Enterprise POC of DefectDojo leveraging vulnerabilities in EQRS, IQIES and ADO-13",
Inventory Tooling,Trial,Security,TRUE,"As a SecEng, in order to be able to perform proper security actions on all assets, I need to know what assets we have",30
Software Bill of Materials Solution for ISG,Assess,Security,TRUE,"Non-siloed, pan-ISG solution to the new Federal requirements for Software Bill of Materials in government software https://www.thoughtworks.com/radar/techniques?blipid=202110076 and share broadly in CMS",36
Contrast Security,Assess,Security,TRUE,Security platform for bakeoff https://www.contrastsecurity.com/contrast-community-edition,
Airflow Orchestration,Adopt,De-identification,TRUE,Orchestrate de-id work with Airflow,
Parquet Output from Database Input,Trial,De-identification,FALSE,Output Parquet from all input sources,
Four key metrics,Adopt,Techniques,FALSE,"<p>To measure software delivery performance, more and more organizations are turning to the <strong>four key metrics</strong> as defined by the <a href=""https://www.devops-research.com/"">DORA research</a> program: change lead time, deployment frequency, mean time to restore (MTTR) and change fail percentage. """,
Lightweight architectural decision records,Adopt,Techniques,FALSE,"Much documentation can be replaced with highly readable code and tests. In a world of evolutionary architecture, however, it's important to record certain design decisions for the benefit of future team members as well as for external oversight. Lightweight Architecture Decision Records is a technique for capturing important architectural decisions along with their context and consequences. We recommend storing these details in source control, instead of a wiki or website, as then they can provide a record that remains in sync with the code itself. For most projects, we see no reason why you wouldn't want to use this technique.",
Assess IPV6 Readiness,Trial,Infrastructure,TRUE,Prepare for IP-v6,
AWS CDK for IaC,Assess,Infrastructure,TRUE,AWS CDK for IaC,42
Monitor ADO-13 with NewRelic,Adopt,Infrastructure,TRUE,Monitoring and observability is one of the current ISG objectives,41
